Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Internship_binary
Military,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Chemistry,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Chemistry,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,0,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,0,0
Working,0,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,0
Working,0,Public Health,Male,School of Medicine,1,0
Working,0,Education - Administration & Supervision,Male,Curry School of Education,1,0
Continuing Education,0,Chemistry,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,Chemistry,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Engineering - Materials Science & Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,0,Education - Kinesiology,Female,Curry School of Education,0,0
Working,0,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,0,1
Working,0,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,0,Statistics,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Data Science,Male,School of Data Science,1,1
Working,0,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Education - Administration & Supervision,Female,Curry School of Education,1,1
Still Looking,0,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,0,0
Still Looking,1,Architecture - Landscape Architecture,Female,School of Architecture,0,1
Working,0,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,0
Still Looking,0,Statistics,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Experimental Pathology,Male,School of Medicine,1,0
Working,1,Public Health,Male,School of Medicine,1,1
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Engineering - Materials Science & Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,0,1
Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Experimental Pathology,Male,School of Medicine,1,0
Working,0,History,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,0,Astronomy,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Special Education,Female,Curry School of Education,1,0
Still Looking,0,Education - Educational Psychology,Female,Curry School of Education,0,0
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Public Health,Female,School of Medicine,1,0
Still Looking,1,Architecture - Landscape Architecture,Female,School of Architecture,0,1
Still Looking,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,1
Still Looking,0,Statistics,Male,College and Graduate School of Arts & Sciences,0,0
Still Looking,1,Education - Speech Communication Disorders,Female,Curry School of Education,0,1
Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Education - Administration & Supervision,Male,Curry School of Education,1,0
Working,0,Chemistry,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Education - Speech Communication Disorders,Female,Curry School of Education,1,1
Working,0,Education - Curriculum & Instruction,Female,Curry School of Education,1,0
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,3,Education - Speech Communication Disorders,Female,Curry School of Education,1,1
Working,3,Education - Speech Communication Disorders,Female,Curry School of Education,1,1
Working,2,Architecture - Landscape Architecture,Female,School of Architecture,1,1
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Education - Special Education,Male,Curry School of Education,1,0
Working,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Education - Special Education,Female,Curry School of Education,1,1
Working,0,Neuroscience,Female,School of Medicine,1,0
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Still Looking,0,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,0,0
Working,0,Microbiology,Female,School of Medicine,1,0
Working,0,Experimental Pathology,Male,School of Medicine,1,0
Still Looking,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,0,1
Still Looking,1,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Architecture - Landscape Architecture,Male,School of Architecture,1,1
Working,0,Architecture,Male,School of Architecture,1,0
Still Looking,1,Linguistics,Male,College and Graduate School of Arts & Sciences,0,1
Still Looking,1,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,0,1
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Mathematics,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0
Working,3,Education - Special Education,Female,Curry School of Education,1,1
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Education - Curriculum & Instruction,Male,Curry School of Education,1,1
Working,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Engineering - Electrical Engineering,Female,School of Engineering & Applied Science,1,0
Working,2,Education - Administration & Supervision,Female,Curry School of Education,1,1
Working,1,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,1
Still Looking,2,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,0,1
Working,0,Data Science,Male,School of Data Science,1,0
Still Looking,0,Linguistics,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0
Working,0,Data Science,Male,School of Data Science,1,0
Working,0,Education - Administration & Supervision,Female,Curry School of Education,1,0
Still Looking,1,Architecture - Landscape Architecture,Female,School of Architecture,0,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Still Looking,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Still Looking,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,1
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Religious Studies,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Pharmacology,Female,School of Medicine,1,0
Working,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Continuing Education,3,Religious Studies,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Engineering - Mechanical & Aerospace Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Engineering - Electrical Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,0
Working,0,Education - Special Education,Female,Curry School of Education,1,0
Working,0,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Working,3,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Data Science,Female,School of Data Science,1,0
Working,0,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Still Looking,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0
Working,0,Data Science,Male,School of Data Science,1,0
Working,1,Data Science,Female,School of Data Science,1,1
Still Looking,1,Architecture - Architectural History,Female,School of Architecture,0,1
Working,0,Education - Curriculum & Instruction,Male,Curry School of Education,1,0
Still Looking,2,Education - English Education,Male,Curry School of Education,0,1
Still Looking,1,Education - Elementary Education,Female,Curry School of Education,0,1
Working,2,Education - Counselor Education,Female,Curry School of Education,1,1
Still Looking,2,Education - Counselor Education,Female,Curry School of Education,0,1
Not Seeking,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Working,2,Education - Counselor Education,Male,Curry School of Education,1,1
Working,0,Data Science,Female,School of Data Science,1,0
Not Seeking,1,Data Science,Female,School of Data Science,0,1
Still Looking,1,Education - Elementary Education,Female,Curry School of Education,0,1
Still Looking,0,Architecture,Female,School of Architecture,0,0
Working,0,Data Science,Female,School of Data Science,1,0
Working,2,Education - Elementary Education,Female,Curry School of Education,1,1
Still Looking,0,Data Science,Male,School of Data Science,0,0
Working,2,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,1,1
Still Looking,1,Education - Science Education,Male,Curry School of Education,0,1
Working,2,Education - Elementary Education,Female,Curry School of Education,1,1
Working,2,Education - Counselor Education,Female,Curry School of Education,1,1
Working,0,Education - Special Education,Female,Curry School of Education,1,0
Still Looking,2,Architecture,Female,School of Architecture,0,1
Military,0,Data Science,Male,School of Data Science,0,0
Working,0,Data Science,Female,School of Data Science,1,0
Working,3,Data Science,Female,School of Data Science,1,1
Working,2,Education - Special Education,Female,Curry School of Education,1,1
Working,1,Architecture - Landscape Architecture,Female,School of Architecture,1,1
Working,1,Religious Studies,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,1
Working,2,Education - Special Education,Female,Curry School of Education,1,1
Still Looking,2,Education - Counselor Education,Male,Curry School of Education,0,1
Working,0,Data Science,Female,School of Data Science,1,0
Still Looking,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Special Education,Male,Curry School of Education,1,0
Working,2,Architecture - Landscape Architecture,Female,School of Architecture,1,1
Still Looking,2,Architecture,Female,School of Architecture,0,1
Still Looking,2,Education - Counselor Education,Female,Curry School of Education,0,1
Still Looking,2,Architecture - Landscape Architecture,Female,School of Architecture,0,1
Working,1,Education - Counselor Education,Female,Curry School of Education,1,1
Working,2,Architecture - Urban & Environmental Planning,Female,School of Architecture,1,1
Working,2,Education - English Education,Male,Curry School of Education,1,1
Working,1,Education - Special Education,Female,Curry School of Education,1,1
Working,0,Data Science,Male,School of Data Science,1,0
Still Looking,1,Education - Counselor Education,Female,Curry School of Education,0,1
Still Looking,0,Architecture,Male,School of Architecture,0,0
Still Looking,0,Architecture - Architectural History,Female,School of Architecture,0,0
Working,3,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Music,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Pharmacology,Male,School of Medicine,0,0
Working,3,Education - Elementary Education,Female,Curry School of Education,1,1
Working,0,Data Science,Male,School of Data Science,1,0
Working,1,Education - Counselor Education,Female,Curry School of Education,1,1
Working,2,Education - Elementary Education,Female,Curry School of Education,1,1
Working,3,Data Science,Male,School of Data Science,1,1
Working,3,Architecture - Landscape Architecture,Female,School of Architecture,1,1
Working,0,Data Science,Male,School of Data Science,1,0
Working,1,Education - Counselor Education,Female,Curry School of Education,1,1
Working,0,Architecture,Female,School of Architecture,1,0
Still Looking,1,Architecture,Female,School of Architecture,0,1
Working,0,Data Science,Male,School of Data Science,1,0
Working,0,Data Science,Female,School of Data Science,1,0
Working,0,Data Science,Male,School of Data Science,1,0
Working,0,Economics,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,0,Architecture,Female,School of Architecture,0,0
Working,1,Data Science,Female,School of Data Science,1,1
Working,0,Data Science,Female,School of Data Science,1,0
Working,0,Biochemistry & Molecular Genetics,Male,School of Medicine,1,0
Working,0,Microbiology,Female,School of Medicine,1,0
Working,1,Education - Special Education,Female,Curry School of Education,1,1
Working,1,Music,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Data Science,Male,School of Data Science,1,1
Working,0,Education - Science Education,Female,Curry School of Education,1,0
Still Looking,2,Education - Elementary Education,Female,Curry School of Education,0,1
Still Looking,1,Education - English Education,Female,Curry School of Education,0,1
Working,0,Data Science,Female,School of Data Science,1,0
Working,1,Education - English Education,Female,Curry School of Education,1,1
Military,0,Data Science,Male,School of Data Science,0,0
Working,2,Architecture,Male,School of Architecture,1,1
Working,3,Data Science,Female,School of Data Science,1,1
Working,0,Data Science,Female,School of Data Science,1,0
Still Looking,1,Architecture,Female,School of Architecture,0,1
Working,0,Data Science,Female,School of Data Science,1,0
Still Looking,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,2,Music,Female,College and Graduate School of Arts & Sciences,1,1
Still Looking,0,Data Science,Female,School of Data Science,0,0
Working,2,Architecture - Landscape Architecture,Female,School of Architecture,1,1
Working,1,Architecture,Male,School of Architecture,1,1
Working,2,Education - Elementary Education,Female,Curry School of Education,1,1
Still Looking,1,Architecture - Architectural History,Female,School of Architecture,0,1
Still Looking,1,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Still Looking,0,Education - English Education,Female,Curry School of Education,0,0
Working,1,Education - Science Education,Female,Curry School of Education,1,1
Still Looking,1,Architecture,Female,School of Architecture,0,1
Still Looking,2,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Still Looking,2,Education - Counselor Education,Female,Curry School of Education,0,1
Working,0,Data Science,Male,School of Data Science,1,0
Working,0,Data Science,Female,School of Data Science,1,0
Continuing Education,2,Philosophy,Male,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,2,Education - Educational Psychology,Female,Curry School of Education,1,1
Still Looking,0,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,0,0
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0
Working,1,Education - Administration & Supervision,Female,Curry School of Education,1,1
Working,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,0,Linguistics,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,French,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Education - Administration & Supervision,Female,Curry School of Education,1,0
Working,1,Education - Higher Education,Female,Curry School of Education,1,1
Continuing Education,3,Education - Educational Psychology,Female,Curry School of Education,0,1
Working,0,Statistics,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,0
Working,3,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Education - Administration & Supervision,Male,Curry School of Education,1,1
Working,3,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Working,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,0
Working,0,Education - Curriculum & Instruction,Male,Curry School of Education,1,0
Still Looking,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,0,0
Still Looking,1,Education - Higher Education,Male,Curry School of Education,0,1
Working,3,Religious Studies,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Music,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Public Health,Female,School of Medicine,1,1
Still Looking,1,Public Health,Female,School of Medicine,0,1
Working,0,Education - Higher Education,Female,Curry School of Education,1,0
Working,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Education - Curriculum & Instruction,Female,Curry School of Education,1,0
Continuing Education,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Education - Higher Education,Female,Curry School of Education,1,1
Working,1,European Studies,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Religious Studies,Female,College and Graduate School of Arts & Sciences,0,0
Still Looking,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,0
Working,2,Public Health,Female,School of Medicine,1,1
Continuing Education,0,Education - Kinesiology,Male,Curry School of Education,0,0
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,3,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Working,3,Education - Kinesiology,Female,Curry School of Education,1,1
Continuing Education,0,Education - Research Statistics & Evaluation,Male,Curry School of Education,0,0
Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Education - Speech Communication Disorders,Female,Curry School of Education,1,1
Working,1,Anthropology,Female,College and Graduate School of Arts & Sciences,1,1
Still Looking,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,0
Still Looking,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
Fellowship,0,Economics,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Educational Psychology,Female,Curry School of Education,1,0
Working,0,Clinical Research,Male,School of Medicine,1,0
Working,0,Engineering - Materials Science & Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Education - Kinesiology,Female,Curry School of Education,1,0
Working,0,Public Health,Female,School of Medicine,1,0
Continuing Education,1,Education - Kinesiology,Male,Curry School of Education,0,1
Continuing Education,1,Education - Higher Education,Male,Curry School of Education,0,1
Working,1,Education - Higher Education,Female,Curry School of Education,1,1
Working,0,Engineering - Electrical Engineering,Female,School of Engineering & Applied Science,1,0
Continuing Education,1,Media Culture & Technology,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Education - Research Statistics & Evaluation,Female,Curry School of Education,1,1
Still Looking,0,Creative Writing,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Data Science,Male,School of Data Science,1,0
Working,0,Education - Reading Education,Male,Curry School of Education,1,0
Working,0,Data Science,Male,School of Data Science,1,0
Still Looking,0,Education - Educational Psychology,Female,Curry School of Education,0,0
Working,1,Education - Kinesiology,Female,Curry School of Education,1,1
Still Looking,2,Art - History of Art & Architecture,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Engineering - Materials Science & Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,0,Architecture - Landscape Architecture,Male,School of Architecture,0,0
Working,0,Education - Athletic Training,Female,Curry School of Education,1,0
Working,1,Education - Athletic Training,Female,Curry School of Education,1,1
Continuing Education,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Continuing Education,0,Religious Studies,Male,College and Graduate School of Arts & Sciences,0,0
Still Looking,0,History,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Engineering - Materials Science & Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,0,Microbiology,Male,School of Medicine,0,0
Working,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Still Looking,0,French,Male,College and Graduate School of Arts & Sciences,0,0
Still Looking,3,Education - Athletic Training,Female,Curry School of Education,0,1
Still Looking,0,English,Male,College and Graduate School of Arts & Sciences,0,0
Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Education - Administration & Supervision,Male,Curry School of Education,1,1
Working,0,Spanish,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,French,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0
Working,1,Education - Higher Education,Female,Curry School of Education,1,1
Military,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,1
Still Looking,1,Public Health,Female,School of Medicine,0,1
Working,0,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,1,Education - Educational Psychology,Female,Curry School of Education,0,1
Still Looking,3,Slavic Languages and Literatures,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,0,Religious Studies,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Working,3,Education - Speech Communication Disorders,Female,Curry School of Education,1,1
Working,1,Education - Educational Psychology,Female,Curry School of Education,1,1
Working,0,Mathematics,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1
Still Looking,3,Education - Athletic Training,Female,Curry School of Education,0,1
Working,0,Biochemistry & Molecular Genetics,Female,School of Medicine,1,0
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Fellowship,1,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Education - Speech Communication Disorders,Female,Curry School of Education,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Education - Administration & Supervision,Female,Curry School of Education,1,1
Still Looking,0,Public Health,Female,School of Medicine,0,0
Working,0,Public Health,Female,School of Medicine,1,0
Continuing Education,3,Public Health,Female,School of Medicine,0,1
Working,0,Education - Curriculum & Instruction,Female,Curry School of Education,1,0
Working,0,Education - Higher Education,Female,Curry School of Education,1,0
Working,0,Economics,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Music,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Education - Educational Policy (Policy Studies),Female,Curry School of Education,1,1
Working,0,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,0
Working,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Education - Curriculum & Instruction,Female,Curry School of Education,1,0
Military,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,0,0
Working,0,Education - Higher Education,Male,Curry School of Education,1,0
Working,0,Education - Higher Education,Female,Curry School of Education,1,0
Working,0,Slavic Languages and Literatures,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Education - Administration & Supervision,Male,Curry School of Education,1,0
Continuing Education,0,Education - Reading Education,Female,Curry School of Education,0,0
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,0,Education - Educational Psychology,Female,Curry School of Education,1,0
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
Still Looking,0,Data Science,Male,School of Data Science,0,0
Working,2,Architecture - Urban & Environmental Planning,Male,School of Architecture,1,1
Still Looking,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,0
Working,2,Public Health,Female,School of Medicine,1,1
Working,2,Slavic Languages and Literatures,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Materials Science & Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Education - Educational Psychology,Female,Curry School of Education,1,0
Working,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Engineering - Mechanical & Aerospace Engineering,Female,School of Engineering & Applied Science,1,0
Working,2,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Education - Kinesiology,Female,Curry School of Education,0,0
Working,1,Mathematics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Education - Educational Psychology,Female,Curry School of Education,1,1
Working,0,Data Science,Female,School of Data Science,1,0
Working,0,Education - Educational Psychology,Female,Curry School of Education,1,0
Working,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0
Working,1,Education - Higher Education,Female,Curry School of Education,1,1
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Continuing Education,1,Education - Kinesiology,Female,Curry School of Education,0,1
Still Looking,1,Architecture - Constructed Environment,Female,School of Architecture,0,1
Working,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Public Health,Female,School of Medicine,1,1
Working,1,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,0,Education - Higher Education,Female,Curry School of Education,1,0
Working,2,Religious Studies,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Nursing,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,1,Religious Studies,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Slavic Languages and Literatures,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Education - Higher Education,Male,Curry School of Education,1,1
Military,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,0
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Still Looking,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,0,0
Working,1,Education - Educational Policy (Policy Studies),Female,Curry School of Education,1,1
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Continuing Education,3,Engineering - Civil Engineering,Male,School of Data Science,0,1
Working,0,Creative Writing,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,0
Working,1,Education - Educational Psychology,Female,Curry School of Education,1,1
